Repository Name,Created At,Stars,Pull Requests,Releases,Issues,Closed Issues,Language
PaddleOCR,2020-05-08T10:38:16Z,46651,3238,16,9444,9417,Python
serverless,2015-04-21T03:48:40Z,46596,5670,431,6447,5319,JavaScript
PowerShell,2016-01-13T23:41:35Z,46531,9028,181,12695,11705,C#
alist,2020-12-23T17:40:29Z,46523,953,124,3974,3612,Go
100-Days-Of-ML-Code,2018-07-05T09:11:43Z,46463,58,0,0,0,N/A
julia,2011-04-21T07:01:50Z,46456,31176,171,24711,20719,Julia
okhttp,2012-07-23T13:42:55Z,46155,4390,0,4115,3970,Kotlin
design-patterns-for-humans,2017-02-16T21:24:39Z,45984,87,0,52,47,N/A
react,2018-06-02T04:08:16Z,45949,499,0,216,212,JavaScript
learn-regex,2017-07-22T12:21:03Z,45899,179,0,86,35,N/A
AFFiNE,2022-07-31T18:45:21Z,45896,7243,423,2441,2098,TypeScript
Projects,2013-07-04T13:37:27Z,45802,119,0,74,33,N/A
v2ray-core,2015-09-04T11:42:53Z,45777,625,247,2584,2576,Go
gogs,2014-02-12T01:57:08Z,45510,2352,82,5117,4216,Go
x64dbg,2015-04-11T20:48:23Z,45462,864,2,2541,1918,C++
huginn,2013-03-10T06:00:31Z,44980,1328,1,2154,1568,Ruby
architecture-samples,2016-02-05T13:42:07Z,44784,493,0,480,346,Kotlin
30-Days-Of-Python,2019-11-19T17:24:16Z,44689,394,0,128,75,Python
quill,2012-07-30T23:23:18Z,44675,782,95,3708,3262,TypeScript
pandas,2010-08-24T01:37:33Z,44660,33727,109,27214,23598,Python
meteor,2012-01-19T01:58:17Z,44571,4198,0,9153,8879,JavaScript
pixijs,2013-01-21T22:40:50Z,44571,4473,283,5836,5461,TypeScript
jest,2013-12-10T00:18:04Z,44536,7413,203,7991,7719,TypeScript
json,2013-07-04T08:47:49Z,44485,1170,44,2283,2233,C++
type-challenges,2020-07-23T14:33:11Z,44457,744,0,34993,3643,TypeScript
AdminLTE,2013-12-25T02:52:40Z,44356,2716,75,2863,2734,Astro
terraform,2014-03-13T22:25:48Z,44223,14927,349,21259,19450,Go
Deep-Live-Cam,2023-09-24T13:19:31Z,44085,142,4,643,632,Python
open-source-ios-apps,2015-01-26T23:32:34Z,44012,1388,37,300,300,N/A
30-Days-Of-JavaScript,2019-12-23T14:07:40Z,43981,654,0,168,59,JavaScript
PythonDataScienceHandbook,2016-08-10T14:24:36Z,43925,208,0,199,78,Jupyter Notebook
query,2019-09-10T19:23:58Z,43909,3006,1000,2030,1981,TypeScript
fuels-ts,2021-09-03T18:11:03Z,43899,2282,143,1400,1315,TypeScript
fuels-rs,2021-10-31T22:33:54Z,43889,960,110,634,551,Rust
pocketbase,2022-07-05T06:06:21Z,43883,249,195,1719,1699,Go
hyper,2016-07-01T06:01:21Z,43731,4144,88,3787,2868,TypeScript
parcel,2017-08-07T16:36:47Z,43671,3349,39,5417,4902,JavaScript
htmx,2020-04-13T16:17:51Z,43652,1321,24,1487,930,JavaScript
zx,2021-05-05T05:50:01Z,43625,506,79,465,453,JavaScript
awesome-react-components,2016-06-24T15:19:33Z,43616,392,0,51,44,N/A
TensorFlow-Examples,2015-11-11T14:21:19Z,43539,172,0,236,70,Jupyter Notebook
build-web-application-with-golang,2012-08-02T11:49:35Z,43440,899,0,303,182,Go
babel,2014-09-28T13:38:23Z,43424,7403,426,8919,8287,TypeScript
Fooocus,2023-08-09T18:43:40Z,43367,679,21,1566,1366,Python
retrofit,2010-09-06T21:39:43Z,43326,1460,2,2731,2608,HTML
CppCoreGuidelines,2015-08-19T20:22:52Z,43308,1043,4,1196,951,CSS
discourse,2013-01-12T00:25:55Z,43294,30896,0,0,0,Ruby
frontend-dev-bookmarks,2013-06-22T13:23:55Z,43254,337,1,107,82,N/A
jadx,2013-03-18T17:08:21Z,42909,600,30,1797,1388,Java
open-source-mac-os-apps,2017-11-03T02:35:33Z,42853,694,0,206,158,N/A
awesome-java,2014-07-09T10:12:43Z,42836,975,0,135,133,N/A
text-generation-webui,2022-12-21T04:17:37Z,42601,1788,58,3798,3586,Python
brew,2016-03-06T05:08:38Z,42596,13860,411,4626,4552,Ruby
react-use,2018-10-27T10:16:05Z,42552,2031,256,587,244,TypeScript
grpc,2014-12-08T18:58:53Z,42491,26924,338,11599,10925,C++
react-hook-form,2019-03-05T23:47:10Z,42487,2482,564,4642,4605,TypeScript
lx-music-desktop,2019-08-14T14:31:08Z,42429,154,109,1998,1183,TypeScript
kubernetes-the-hard-way,2016-07-07T14:15:27Z,42409,426,0,421,300,N/A
front-end-interview-handbook,2018-01-13T19:40:08Z,42383,360,0,100,87,MDX
lazydocker,2019-05-18T08:53:50Z,42142,265,42,342,185,Go
Leaflet,2010-09-22T16:57:44Z,42113,4167,31,5219,4804,JavaScript
Rocket.Chat,2015-05-19T07:36:09Z,42017,17731,1000,16133,13606,TypeScript
git-flight-rules,2014-07-22T20:35:09Z,42009,291,0,73,55,N/A
vaultwarden,2018-02-17T22:40:20Z,41988,1075,69,2207,2196,Rust
pm2,2013-05-21T03:25:25Z,41935,900,124,5037,4073,JavaScript
dbeaver,2015-10-21T08:26:28Z,41863,6364,218,18453,15615,Java
Alamofire,2014-07-31T05:56:19Z,41696,1117,102,2780,2743,Swift
awesome-cheatsheets,2017-11-09T02:47:15Z,41691,312,0,92,57,JavaScript
edex-ui,2017-01-28T09:35:02Z,41624,475,29,559,553,JavaScript
JeecgBoot,2018-11-26T10:40:00Z,41606,317,53,6793,6756,Java
monaco-editor,2016-06-07T16:56:31Z,41502,637,91,3751,3134,JavaScript
yarn,2016-01-19T17:39:16Z,41501,2359,152,6597,4730,JavaScript
LLaMA-Factory,2023-05-28T10:09:12Z,41437,578,32,5983,5692,Python
awesome-design-patterns,2018-06-04T17:47:48Z,41347,54,0,15,5,N/A
acme.sh,2015-12-26T12:56:33Z,41263,2151,44,3182,2171,Shell
prisma,2019-06-20T13:33:47Z,41246,8303,209,10881,8677,TypeScript
FreeDomain,2024-05-30T13:23:00Z,41143,11,0,0,0,HTML
reactjs-interview-questions,2018-05-31T17:17:01Z,41091,238,0,107,101,JavaScript
vue2-elm,2016-12-23T01:49:20Z,41052,50,0,628,512,Vue
ChatGLM-6B,2023-03-13T12:00:18Z,41024,122,0,1305,749,Python
what-happens-when,2013-11-07T04:30:06Z,41009,2203,0,290,53,N/A
GPT-SoVITS,2024-01-14T18:05:21Z,40988,477,1,1515,808,Python
python-patterns,2012-06-06T21:02:35Z,40971,331,0,89,78,Python
metabase,2015-02-02T19:25:47Z,40927,32391,619,21673,17834,Clojure
uv,2023-10-02T20:24:11Z,40869,6362,157,5335,4109,Rust
pyenv,2012-08-31T06:57:52Z,40866,1143,120,1812,1747,Roff
odoo,2014-05-13T15:38:58Z,40771,179013,0,18040,15012,Python
dubbo,2012-06-19T07:56:02Z,40736,7719,107,7132,6339,Java
styled-components,2016-08-16T06:41:32Z,40678,1329,172,2924,2639,TypeScript
spark,2014-02-25T08:00:08Z,40587,50015,0,0,0,Scala
swiper,2012-03-14T19:11:45Z,40561,865,81,5653,5484,JavaScript
nw.js,2012-01-04T06:21:10Z,40494,842,0,7360,6430,JavaScript
uni-app,2018-07-12T08:52:39Z,40437,501,0,4692,3638,JavaScript
LLMs-from-scratch,2023-07-23T18:15:57Z,40386,314,0,120,120,Jupyter Notebook
diagrams,2020-02-02T15:23:24Z,40323,550,43,519,213,Python
ColossalAI,2021-10-28T16:19:44Z,40295,4276,48,1687,1280,Python
vuetify,2016-09-12T00:39:35Z,40244,5526,577,14469,13944,TypeScript
CPlusPlusThings,2019-07-14T08:45:45Z,40241,120,0,226,218,C++
kong,2014-11-17T23:56:08Z,40197,8563,144,4475,4420,Lua
maybe,2024-01-01T22:23:46Z,40188,1072,25,560,526,Ruby
stablediffusion,2022-11-23T23:59:50Z,40169,95,0,318,76,Python
ailearning,2017-02-25T08:53:02Z,40155,533,2,128,126,Python
sentry,2010-08-30T22:06:41Z,40078,69811,145,14616,12510,Python
hexo,2012-09-23T15:17:08Z,40006,1300,114,3965,3886,TypeScript
autogen,2023-08-18T11:43:45Z,39977,2622,75,2479,1965,Python
fastlane,2014-12-02T17:00:38Z,39912,7538,548,13085,12472,Ruby
black,2018-03-14T19:54:45Z,39740,1861,46,2670,2327,Python
nvm-windows,2014-09-20T16:37:28Z,39599,193,23,892,817,Go
nanoGPT,2022-12-28T00:51:12Z,39524,236,0,324,105,Python
cobra,2013-09-03T20:40:26Z,39488,1047,24,1180,971,Go
iina,2016-12-19T07:18:45Z,39474,1183,44,4034,2305,Swift
fanqiang,2015-01-14T00:34:25Z,39225,11,3,779,458,Kotlin
termux-app,2015-10-23T09:42:46Z,39166,452,91,2765,2407,Java
llama_index,2022-11-02T04:24:54Z,39154,6725,360,5905,5244,Python
ClickHouse,2016-06-02T08:28:18Z,39135,53004,626,22818,19009,C++
ragflow,2023-12-12T06:13:13Z,39061,2424,21,2564,1486,TypeScript
cheat.sh,2017-05-07T21:40:56Z,38977,160,0,251,131,Python
tldraw,2021-05-09T11:48:37Z,38947,3325,59,1439,1163,TypeScript
vllm,2023-02-09T11:23:20Z,38910,6509,50,6664,5374,Python
airflow,2015-04-13T18:04:58Z,38893,31327,93,10760,9648,Python
materialize,2014-09-12T19:35:38Z,38867,1443,41,5223,4599,JavaScript
Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,38781,93,0,55,5,Python
tabler,2018-02-01T09:08:59Z,38763,975,47,962,923,HTML
php-src,2011-06-16T01:52:25Z,38698,13882,7,3825,3051,C
bert,2018-10-25T22:57:34Z,38689,210,0,1144,354,Python
v2rayNG,2019-05-15T02:15:31Z,38615,618,227,3141,3130,Kotlin
chinese-independent-developer,2017-09-21T11:08:23Z,38591,302,0,162,161,N/A
esbuild,2016-06-14T16:08:50Z,38589,439,292,3613,3131,Go
chakra-ui,2019-08-17T14:27:54Z,38573,3640,1000,3973,3967,TypeScript
markitdown,2024-11-13T19:56:40Z,38455,148,3,177,37,HTML
video.js,2010-05-14T18:45:10Z,38447,3213,328,5332,4792,JavaScript
anything-llm,2023-06-04T02:29:14Z,38443,1097,11,2144,1925,JavaScript
wrk,2012-03-20T11:12:28Z,38440,131,0,405,262,C
cli,2019-10-03T15:24:53Z,38345,3145,156,4640,3932,Go
50projects50days,2020-11-16T14:39:01Z,38262,195,0,0,0,CSS
Made-With-ML,2018-11-05T03:44:27Z,38207,191,0,73,57,Jupyter Notebook
bevy,2020-01-18T21:13:55Z,38053,9957,35,6342,4241,Rust
mitmproxy,2010-02-16T04:10:13Z,38003,3111,72,3467,3145,Python
tidb,2015-09-06T04:01:52Z,37962,39447,205,20106,16360,Go
whisper.cpp,2022-09-25T18:26:37Z,37962,835,24,1529,714,C++
English-level-up-tips,2017-05-30T07:18:52Z,37958,38,0,99,72,HTML
TTS,2020-05-20T15:45:28Z,37905,752,98,1150,1140,Python
FastChat,2023-03-19T00:18:02Z,37885,1201,14,1863,1063,Python
styleguide,2015-05-20T19:18:59Z,37869,458,0,343,235,HTML
zju-icicles,2016-06-28T16:17:32Z,37852,261,0,78,68,HTML
typst,2019-09-24T21:41:56Z,37827,1930,21,2978,2236,Rust
MPAndroidChart,2014-04-25T14:29:47Z,37821,510,44,4957,2894,Java
impress.js,2011-12-28T22:23:19Z,37714,384,15,481,426,JavaScript
streamlit,2019-08-24T00:14:52Z,37694,5544,92,4828,3879,Python
coolify,2021-01-25T20:54:01Z,37601,1710,589,2292,1899,PHP
EasySpider,2020-07-18T02:41:27Z,37590,67,10,606,445,JavaScript
phaser,2013-04-12T12:27:51Z,37581,2408,164,4469,4398,JavaScript
gorm,2013-10-25T08:31:38Z,37568,1369,2,5881,5473,Go
expo,2016-08-15T17:14:25Z,37547,18122,0,15719,15209,TypeScript
zig,2015-08-06T00:51:28Z,37543,10839,18,12050,8979,Zig
awesome-compose,2020-02-13T08:51:42Z,37517,419,0,123,40,HTML
vim,2015-08-18T21:03:56Z,37511,7981,0,8548,7086,Vim Script
WeChatMsg,2023-01-11T05:03:49Z,37453,90,33,448,387,Python
jellyfin,2018-12-09T06:36:45Z,37374,5525,85,6769,6353,C#
quivr,2023-05-12T23:53:30Z,37353,2036,354,1528,1499,Python
free,2020-06-07T02:48:33Z,37310,16,0,693,189,N/A
TrafficMonitor,2017-07-30T02:51:17Z,37267,79,26,1787,677,C++
Open-Assistant,2022-12-13T05:24:17Z,37241,1965,127,1643,1417,Python
freecodecamp.cn,2016-09-30T03:13:43Z,37181,73,0,585,445,CSS
memos,2021-12-08T15:30:18Z,37176,1814,75,2206,2186,Go
preact,2015-09-11T02:40:18Z,37170,2537,221,1857,1786,JavaScript
leveldb,2014-08-27T21:17:52Z,37122,416,21,771,535,C++
tutorials,2013-04-29T18:26:36Z,37026,17543,0,779,749,Java
bark,2023-04-07T19:34:48Z,37024,75,0,455,234,Jupyter Notebook
jsoncrack.com,2022-01-30T15:25:18Z,37005,155,20,244,213,TypeScript
shellcheck,2012-11-17T03:15:11Z,36966,379,29,2742,1671,Haskell
ultralytics,2022-09-11T16:39:45Z,36912,3760,152,10405,9643,Python
curl,2010-03-18T22:32:22Z,36906,10659,87,4901,4885,C
DeepSpeed,2020-01-23T18:35:18Z,36905,3191,87,2981,1978,Python
python-cheatsheet,2018-01-25T04:16:53Z,36882,108,0,66,61,Python
ant-design-pro,2017-08-25T10:40:44Z,36830,1480,26,9701,9515,TypeScript
awesome-remote-job,2015-01-02T00:31:34Z,36805,852,0,73,71,N/A
pure-bash-bible,2018-06-13T01:39:33Z,36800,61,0,76,33,Shell
interview_internal_reference,2019-06-10T06:54:19Z,36797,45,0,46,18,Python
aria2,2010-11-27T09:41:48Z,36745,372,24,1872,818,C++
freqtrade,2017-05-17T23:48:53Z,36614,6317,94,5022,4983,Python
penpot,2015-12-29T22:09:07Z,36572,3939,46,1714,1314,Clojure
tmux,2015-06-03T23:32:55Z,36572,690,37,3576,3528,C
istio,2016-11-18T23:57:21Z,36512,33846,373,20521,20042,Go
photoprism,2018-01-27T12:00:15Z,36512,881,71,2259,1783,Go
GFPGAN,2021-03-19T06:18:20Z,36348,59,8,482,129,Python
novu,2021-08-26T15:22:44Z,36320,6029,40,1547,1322,TypeScript
gradio,2018-12-19T08:24:04Z,36302,4894,1000,5364,4905,Python
JavaFamily,2019-11-12T04:26:18Z,36294,15,0,63,60,N/A
Summer2025-Internships,2020-05-23T20:53:18Z,36262,1942,0,2844,2841,N/A
OpenBB,2020-12-20T10:46:38Z,36230,4618,42,2205,2169,Python
Files,2019-01-04T18:19:14Z,36147,6001,123,10295,9825,C#
AI-For-Beginners,2021-03-03T16:27:36Z,36142,274,0,124,101,Jupyter Notebook
manifesto,2023-08-13T16:17:24Z,36125,1128,0,26,13,HTML
aspnetcore,2014-03-11T06:09:42Z,36122,19568,243,36116,32684,C#
GitHubDaily,2018-12-30T13:56:58Z,36109,20,0,484,170,N/A
trpc,2020-07-18T01:17:11Z,36104,4445,200,1188,1081,TypeScript
taro,2018-04-08T09:32:26Z,36099,4526,186,11953,10526,TypeScript
v,2019-02-08T02:57:06Z,36098,13070,246,9127,8166,V
deeplearningbook-chinese,2016-12-07T11:46:51Z,36072,34,7,202,138,TeX
ruff,2022-08-09T17:17:44Z,36047,9735,348,6197,4951,Rust
tesseract.js,2015-06-24T02:49:52Z,36037,256,55,714,680,JavaScript
wtfpython,2017-08-28T20:22:19Z,36033,141,2,216,142,Python
helix,2020-06-01T04:26:56Z,36007,5314,28,4902,4193,Rust
arthas,2018-08-29T17:15:57Z,35997,844,58,2053,1693,Java
pandoc,2010-03-20T20:34:23Z,35957,2117,143,7783,6753,Haskell
wtfjs,2017-07-14T15:42:12Z,35956,195,25,115,96,JavaScript
og-aws,2016-07-13T17:30:16Z,35891,590,0,227,87,Shell
DragGAN,2023-05-18T10:08:02Z,35860,32,0,190,46,Python
lerna,2015-12-04T09:36:55Z,35842,1376,240,2654,2268,TypeScript
MockingBird,2021-08-07T03:53:39Z,35820,99,1,886,411,Python
devdocs,2013-10-24T18:16:07Z,35778,1190,0,1198,1017,Ruby
appsmith,2020-06-30T04:07:36Z,35746,16608,267,22620,18481,TypeScript
insomnia,2016-04-23T03:54:26Z,35709,3785,495,3725,3072,JavaScript
zod,2020-03-07T20:59:08Z,35709,905,92,2069,1585,TypeScript
fd,2017-05-09T21:27:10Z,35666,737,40,877,770,Rust
ray,2016-10-25T19:38:30Z,35571,31023,100,19492,15756,Python
daisyui,2020-11-28T22:57:27Z,35549,461,53,1706,1583,Svelte
shadowsocks-android,2012-12-16T13:40:29Z,35488,392,185,2502,2460,Kotlin
googletest,2015-07-28T15:07:53Z,35481,2059,10,2278,1971,C++
hello-algorithm,2020-05-29T05:47:09Z,35477,31,0,44,32,Java
interview,2018-02-09T09:49:48Z,35464,51,0,64,40,C++
gym,2016-04-27T14:59:16Z,35446,1458,19,1838,1726,Python
spotube,2021-02-14T03:17:58Z,35424,354,37,1548,971,Dart
Flowise,2023-03-31T12:23:09Z,35419,1393,62,1732,1274,TypeScript
sheetjs,2012-12-03T19:25:52Z,35405,324,0,2385,2267,N/A
fullPage.js,2013-09-20T11:58:29Z,35389,531,101,4113,3978,JavaScript
koa,2013-07-20T18:53:45Z,35353,875,2,911,894,JavaScript
date-fns,2014-10-06T10:24:22Z,35340,1695,122,1956,1357,TypeScript
RSSHub,2018-04-02T14:43:21Z,35336,12370,0,5789,5455,TypeScript
lottie-android,2016-10-06T22:42:42Z,35203,810,55,1750,1726,Java
nativefier,2015-07-05T05:56:42Z,35086,332,99,1238,982,TypeScript
fiber,2020-01-16T03:59:20Z,35085,1794,124,1486,1390,Go
upscayl,2022-07-30T17:19:20Z,35059,117,29,859,807,TypeScript
logseq,2020-05-23T00:06:06Z,35037,3373,147,7767,6364,Clojure
Awesome-Design-Tools,2019-02-12T13:55:30Z,35013,395,0,41,25,JavaScript
slidev,2021-04-24T01:25:23Z,35004,736,381,1132,1046,TypeScript
955.WLB,2019-03-27T23:53:37Z,34995,62,0,262,82,N/A
lapce,2018-02-06T08:41:06Z,34992,1583,31,1943,1164,Rust
hackathon-starter,2013-11-13T17:24:12Z,34986,641,16,660,651,JavaScript
Pake,2022-10-14T09:32:57Z,34973,171,31,351,318,Rust
google-research,2018-10-04T18:42:48Z,34967,895,0,1284,335,Jupyter Notebook
awesome-react-native,2015-03-26T19:58:06Z,34940,1062,0,72,35,JavaScript
carbon,2017-06-16T02:50:28Z,34910,830,215,678,627,JavaScript
typeorm,2016-02-29T07:41:14Z,34905,3018,32,8275,5868,TypeScript
chatgpt-on-wechat,2022-08-07T08:33:41Z,34899,449,61,1937,1652,Python
metasploit-framework,2011-08-30T06:13:20Z,34873,13258,0,6156,5736,Ruby
cli,2012-02-25T12:39:13Z,34851,621,47,881,718,Python
halo,2018-03-21T12:56:52Z,34796,2644,208,4129,3783,Java
ToolJet,2021-03-30T08:51:34Z,34789,7147,283,4680,4014,JavaScript
glide,2013-07-08T22:52:33Z,34787,962,47,4459,3918,Java
compose,2013-12-09T11:40:58Z,34781,4509,247,7861,7773,Go
the-way-to-go_ZH_CN,2013-03-24T17:18:38Z,34742,710,0,0,0,Go
ccxt,2017-05-14T15:41:56Z,34717,14612,137,10575,9660,Python
ChatTTS,2024-05-27T18:26:49Z,34611,258,5,609,544,Python
system-design,2022-08-15T18:59:54Z,34567,30,0,21,20,N/A
vim-plug,2013-09-10T14:58:51Z,34554,261,8,1027,958,Vim Script
TaskMatrix,2023-03-02T09:04:28Z,34541,115,0,356,136,Python
HanLP,2014-10-09T06:36:16Z,34456,136,62,1425,1417,Python
node-v0.x-archive,2009-05-27T16:29:46Z,34413,3796,0,6379,6379,N/A
caffe,2013-09-12T18:39:48Z,34238,2245,14,4799,3899,C++
cal.com,2021-03-22T13:47:42Z,34169,11683,389,7204,6314,TypeScript
formik,2017-06-14T19:50:59Z,34153,1345,196,2253,1556,TypeScript
clipboard.js,2015-09-18T23:04:55Z,34110,230,42,626,616,JavaScript
12306,2017-05-17T12:23:40Z,34012,146,1,691,466,Python
awesome-javascript,2014-07-01T15:59:02Z,33995,812,0,91,87,N/A
nushell,2019-05-10T16:59:42Z,33963,8265,104,6126,4681,Rust
gold-miner,2015-11-04T03:29:13Z,33954,3933,0,5596,5591,N/A
spacedrive,2021-09-27T05:09:04Z,33918,2073,25,498,387,TypeScript
marked,2011-07-24T13:15:51Z,33914,1921,146,1561,1545,TypeScript
REKCARC-TSC-UHT,2019-04-05T03:31:23Z,33878,176,0,31,30,HTML
netty,2010-11-09T09:22:21Z,33812,8056,0,6563,5981,Java
awesome-shell,2014-07-07T01:57:42Z,33787,468,0,57,22,N/A
jieba,2012-09-29T07:52:01Z,33715,167,9,853,227,Python
react-beautiful-dnd,2017-08-09T03:37:15Z,33675,976,68,1613,1044,JavaScript
Langchain-Chatchat,2023-03-31T12:12:45Z,33617,863,31,4043,3832,TypeScript
shadowsocks,2012-04-20T13:10:49Z,33600,163,2,0,0,Python
AndroidUtilCode,2016-07-30T18:18:32Z,33457,218,117,1580,1278,Java
spring-boot-demo,2017-11-10T06:27:29Z,33400,92,0,169,73,Java
sqlmap,2012-06-26T09:52:15Z,33380,412,10,5286,5236,Python
AFNetworking,2011-05-31T21:28:44Z,33354,1517,40,0,0,Objective-C
LeetCode-Go,2017-07-18T00:06:14Z,33342,205,4,79,63,Go
pytorch-image-models,2019-02-02T05:51:12Z,33243,594,64,955,907,Python
brackets,2011-12-07T21:14:40Z,33235,5602,69,9683,7066,JavaScript
node,2024-05-13T23:20:40Z,33209,32,2,14,9,Shell
faiss,2017-02-07T16:07:05Z,33166,1372,18,2574,2349,C++
XX-Net,2015-01-15T09:35:51Z,33166,485,388,13314,5413,Python
framework,2013-01-10T21:27:28Z,33166,31792,801,18541,18523,PHP
docs,2024-05-07T16:49:36Z,33163,326,0,27,13,MDX
windows,2024-01-14T13:09:40Z,33161,378,81,655,565,Shell
husky,2014-06-23T12:14:21Z,33130,452,80,1070,1012,JavaScript
easyexcel,2018-02-06T03:14:08Z,33109,458,14,3576,3113,Java
gulp,2013-07-04T05:26:06Z,33090,680,23,1934,1906,JavaScript
fastify,2016-09-28T19:10:14Z,33081,3551,290,2037,1976,JavaScript
zxing,2011-10-12T14:07:27Z,33078,504,31,1297,1290,Java
leetcode,2018-09-16T14:03:03Z,33044,3891,21,50,48,Java
solid,2018-04-24T16:36:27Z,33043,474,35,1049,951,TypeScript
immutable-js,2014-07-02T06:02:29Z,33023,798,85,1250,1147,TypeScript
ink-kit,2024-11-04T16:32:17Z,33013,98,0,3,0,TypeScript
NewPipe,2015-09-03T23:39:26Z,32989,2211,135,9285,8109,Java
Coursera-ML-AndrewNg-Notes,2017-11-04T10:04:08Z,32953,36,0,68,15,HTML
AgentGPT,2023-04-07T02:29:19Z,32938,1066,12,461,337,TypeScript
JavaScript,2017-07-13T06:12:33Z,32890,1535,0,203,196,JavaScript
linux-command,2016-11-12T15:44:26Z,32825,433,30,194,123,Markdown
ijkplayer,2013-06-03T04:12:04Z,32749,229,0,5361,2540,C
payload,2021-01-05T18:49:45Z,32679,5828,486,3154,2898,TypeScript
carbon-lang,2020-04-27T21:45:16Z,32643,4047,230,624,511,C++
ShadowsocksX-NG,2016-06-10T11:49:00Z,32638,119,30,1356,1048,Swift
poetry,2018-02-28T15:23:47Z,32632,3097,139,6077,5615,Python
milvus,2019-09-16T06:43:43Z,32623,24536,107,12781,12159,Go
Python,2011-11-30T09:04:08Z,32575,2065,0,441,140,Python
legado,2019-05-22T04:18:58Z,32511,1419,115,2633,2561,Kotlin
engineering-blogs,2015-06-13T18:25:17Z,32509,1070,0,96,74,Ruby
plane,2022-11-19T12:55:01Z,32499,5399,39,1116,699,TypeScript
harness,2014-02-07T07:54:44Z,32467,1525,50,1991,1920,Go
awesome-awesomeness,2014-07-08T05:44:19Z,32386,417,0,68,52,Ruby
gpt-pilot,2023-08-16T11:56:07Z,32385,493,0,544,301,Python
zsh-autosuggestions,2013-10-26T16:09:37Z,32294,215,0,603,453,Shell
material-design-lite,2015-01-14T22:01:33Z,32293,1198,14,2189,1812,HTML
portainer,2016-05-19T20:15:28Z,32065,5532,137,5772,5231,TypeScript
polars,2020-05-13T19:45:33Z,31980,11423,202,9908,7738,Rust
How-To-Ask-Questions-The-Smart-Way,2015-03-28T16:52:40Z,31954,109,0,27,20,JavaScript
certbot,2014-11-12T02:52:20Z,31948,4773,56,5376,5240,Python
openpose,2017-04-24T14:06:31Z,31912,261,15,1986,1663,C++
run,2022-04-10T05:42:40Z,31907,219,0,255,213,N/A
LLM101n,2024-05-27T00:23:38Z,31903,16,0,0,0,N/A
HEU_KMS_Activator,2019-06-23T00:49:35Z,31901,2,40,161,25,N/A
beego,2012-02-29T02:32:08Z,31861,2201,38,3356,3350,Go
chatgpt-web,2023-02-09T03:21:37Z,31838,338,43,1747,1747,Vue
vault,2015-02-25T00:15:59Z,31815,23266,156,6252,5177,Go
my-tv,2023-12-04T12:18:39Z,31790,22,72,912,774,C
chatbox,2023-03-06T12:22:15Z,31763,127,47,1800,1291,TypeScript
swc,2017-12-22T11:40:14Z,31716,5663,623,3729,3332,Rust
shardeum,2024-04-16T22:37:25Z,31709,265,0,36,23,TypeScript
mattermost,2015-06-15T06:50:02Z,31705,21099,716,8873,8222,TypeScript
android-open-project,2014-01-05T15:20:15Z,31676,308,0,85,74,N/A
