Nome,URL,Estrelas,Criado em,Última atualização,Tamanho (KB),Forks,Issues abertas,Watchers
apache/druid,https://github.com/apache/druid.git,13645,2012-10-23T19:08:07Z,2025-03-23T21:23:37Z,375647,3731,772,13645
Curzibn/Luban,https://github.com/Curzibn/Luban.git,13631,2016-07-24T07:43:21Z,2025-03-23T10:50:09Z,5029,2247,153,13631
pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint.git,13550,2014-10-20T09:27:22Z,2025-03-23T14:17:24Z,262046,3775,486,13550
lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations.git,13514,2015-03-08T20:54:00Z,2025-03-23T08:11:24Z,8692,2471,20,13514
sqshq/piggymetrics,https://github.com/sqshq/piggymetrics.git,13426,2015-03-29T17:56:31Z,2025-03-23T15:38:38Z,1512,6197,21,13426
LuckSiege/PictureSelector,https://github.com/LuckSiege/PictureSelector.git,13409,2017-01-04T07:47:39Z,2025-03-23T03:50:02Z,542078,3036,542,13409
zaproxy/zaproxy,https://github.com/zaproxy/zaproxy.git,13366,2015-06-03T16:55:01Z,2025-03-23T17:07:33Z,200003,2341,840,13366
janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf.git,13215,2017-04-07T10:46:50Z,2025-03-22T13:16:32Z,43571,2775,13,13215
projectlombok/lombok,https://github.com/projectlombok/lombok.git,13077,2009-06-08T19:46:41Z,2025-03-24T00:19:57Z,80857,2426,950,13077
youth5201314/banner,https://github.com/youth5201314/banner.git,12976,2016-04-22T05:50:25Z,2025-03-21T09:37:26Z,11310,2523,39,12976
languagetool-org/languagetool,https://github.com/languagetool-org/languagetool.git,12920,2013-08-08T16:37:22Z,2025-03-23T16:56:44Z,5835333,1421,1984,12920
Netflix/conductor,https://github.com/Netflix/conductor.git,12793,2016-12-07T22:48:42Z,2025-03-21T14:47:23Z,29469,2339,164,12793
facebook/stetho,https://github.com/facebook/stetho.git,12693,2015-01-22T22:34:10Z,2025-03-23T17:53:22Z,2392,1128,82,12693
greenrobot/greenDAO,https://github.com/greenrobot/greenDAO.git,12623,2011-10-22T16:15:14Z,2025-03-23T07:38:48Z,7353,2887,236,12623
pxb1988/dex2jar,https://github.com/pxb1988/dex2jar.git,12599,2015-03-16T09:13:07Z,2025-03-23T10:14:52Z,8725,2148,380,12599
google/guice,https://github.com/google/guice.git,12584,2014-05-28T23:18:53Z,2025-03-22T09:27:47Z,125176,1670,344,12584
Netflix/eureka,https://github.com/Netflix/eureka.git,12511,2012-07-26T22:23:07Z,2025-03-23T14:52:52Z,12481,3763,121,12511
daimajia/AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations.git,12451,2014-06-23T03:53:13Z,2025-03-23T15:04:26Z,297,2424,65,12451
apache/zookeeper,https://github.com/apache/zookeeper.git,12418,2009-03-27T15:41:56Z,2025-03-23T16:08:54Z,149249,7269,222,12418
alibaba/COLA,https://github.com/alibaba/COLA.git,12298,2018-02-06T13:46:27Z,2025-03-23T13:44:25Z,3805,3140,84,12298
pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper.git,12282,2014-06-09T15:32:30Z,2025-03-23T00:22:53Z,5303,3135,56,12282
metersphere/metersphere,https://github.com/metersphere/metersphere.git,11910,2020-02-03T02:06:12Z,2025-03-23T09:11:05Z,420767,2648,59,11910
Tencent/VasSonic,https://github.com/Tencent/VasSonic.git,11851,2017-08-01T08:35:13Z,2025-03-19T05:31:03Z,16215,1616,44,11851
Tencent/matrix,https://github.com/Tencent/matrix.git,11768,2018-12-11T07:08:02Z,2025-03-21T18:02:56Z,199709,1893,391,11768
amitshekhariitbhu/android-interview-questions,https://github.com/amitshekhariitbhu/android-interview-questions.git,11728,2017-07-09T18:47:24Z,2025-03-23T20:05:35Z,1373,2298,12,11728
grpc/grpc-java,https://github.com/grpc/grpc-java.git,11651,2014-12-08T19:00:00Z,2025-03-23T17:24:19Z,105266,3887,487,11651
frank-lam/fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial.git,11631,2018-04-13T01:50:10Z,2025-03-23T10:20:05Z,65725,2441,23,11631
code4craft/webmagic,https://github.com/code4craft/webmagic.git,11524,2013-04-23T12:57:36Z,2025-03-23T15:42:30Z,17420,4175,364,11524
realm/realm-java,https://github.com/realm/realm-java.git,11483,2012-04-20T09:18:42Z,2025-03-23T16:26:18Z,65940,1754,398,11483
careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition.git,11402,2015-07-02T06:28:46Z,2025-03-23T12:52:30Z,21487,4419,144,11402
gyf-dev/ImmersionBar,https://github.com/gyf-dev/ImmersionBar.git,11376,2017-04-19T05:10:09Z,2025-03-21T11:54:22Z,325009,1903,127,11376
newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall.git,11267,2019-09-21T03:56:04Z,2025-03-21T08:46:49Z,36232,2728,3,11267
permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher.git,11228,2015-08-15T21:41:05Z,2025-03-14T03:12:37Z,3009,1438,31,11228
debezium/debezium,https://github.com/debezium/debezium.git,11210,2016-01-22T20:17:05Z,2025-03-23T09:24:15Z,59825,2624,82,11210
plantuml/plantuml,https://github.com/plantuml/plantuml.git,11163,2010-11-04T15:55:50Z,2025-03-23T20:06:00Z,330410,1018,498,11163
mission-peace/interview,https://github.com/mission-peace/interview.git,11140,2014-07-20T21:27:31Z,2025-03-23T16:18:38Z,1200,5173,175,11140
jhy/jsoup,https://github.com/jhy/jsoup.git,11086,2009-12-19T01:29:58Z,2025-03-23T15:42:25Z,5786,2222,16,11086
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader.git,11079,2015-12-22T11:17:16Z,2025-03-19T05:17:18Z,40720,2208,181,11079
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations.git,11043,2012-01-06T08:48:03Z,2025-03-22T03:59:53Z,22510,2343,50,11043
square/javapoet,https://github.com/square/javapoet.git,10857,2013-02-01T16:56:30Z,2025-03-23T13:56:47Z,1954,1387,143,10857
alibaba/vlayout,https://github.com/alibaba/vlayout.git,10790,2017-02-27T08:11:47Z,2025-03-21T06:23:28Z,1726,1792,194,10790
aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base.git,10708,2008-10-21T18:20:37Z,2025-03-23T14:40:43Z,7649821,6321,8,10708
android-async-http/android-async-http,https://github.com/android-async-http/android-async-http.git,10632,2011-02-20T03:25:07Z,2025-03-20T02:54:20Z,3063,4084,117,10632
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket.git,10625,2010-01-20T23:33:04Z,2025-03-22T02:26:12Z,4228,2591,46,10625
clojure/clojure,https://github.com/clojure/clojure.git,10576,2010-06-29T20:03:33Z,2025-03-23T02:52:58Z,18176,1469,0,10576
jwtk/jjwt,https://github.com/jwtk/jjwt.git,10548,2014-09-13T01:06:24Z,2025-03-23T13:54:00Z,3137,1348,48,10548
google/auto,https://github.com/google/auto.git,10488,2013-05-22T21:41:56Z,2025-03-22T14:26:08Z,44100,1204,87,10488
provectus/kafka-ui,https://github.com/provectus/kafka-ui.git,10488,2019-11-26T15:55:55Z,2025-03-23T14:26:03Z,30382,1255,326,10488
tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions.git,10483,2015-09-29T13:55:09Z,2025-03-23T15:02:35Z,587,1321,101,10483
datahub-project/datahub,https://github.com/datahub-project/datahub.git,10443,2015-11-18T05:47:40Z,2025-03-22T21:22:55Z,404689,3070,426,10443
opensearch-project/OpenSearch,https://github.com/opensearch-project/OpenSearch.git,10388,2021-01-29T22:10:00Z,2025-03-23T22:55:34Z,576309,1967,2113,10388
JessYanCoding/MVPArms,https://github.com/JessYanCoding/MVPArms.git,10283,2016-08-06T08:49:56Z,2025-03-19T07:18:24Z,5963,2384,47,10283
resilience4j/resilience4j,https://github.com/resilience4j/resilience4j.git,10049,2015-06-03T09:21:01Z,2025-03-23T00:31:19Z,8413,1381,250,10049
beemdevelopment/Aegis,https://github.com/beemdevelopment/Aegis.git,9980,2016-08-15T19:10:31Z,2025-03-23T16:58:45Z,21761,418,80,9980
xpipe-io/xpipe,https://github.com/xpipe-io/xpipe.git,9966,2023-01-27T02:25:38Z,2025-03-24T00:30:40Z,32977,350,43,9966
zfile-dev/zfile,https://github.com/zfile-dev/zfile.git,9934,2019-08-19T13:57:56Z,2025-03-24T00:46:31Z,46394,1870,140,9934
wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations.git,9921,2015-01-09T10:33:29Z,2025-03-22T01:44:35Z,26509,1407,56,9921
awsdocs/aws-doc-sdk-examples,https://github.com/awsdocs/aws-doc-sdk-examples.git,9891,2016-08-18T19:06:57Z,2025-03-23T12:12:10Z,250441,5738,149,9891
googlesamples/easypermissions,https://github.com/googlesamples/easypermissions.git,9889,2015-12-22T18:05:53Z,2025-03-20T14:09:20Z,635,1457,40,9889
paascloud/paascloud-master,https://github.com/paascloud/paascloud-master.git,9877,2018-03-17T05:40:43Z,2025-03-23T01:38:53Z,16083,4303,105,9877
stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP.git,9825,2013-06-27T21:13:49Z,2025-03-22T12:24:10Z,396334,2712,184,9825
hackware1993/MagicIndicator,https://github.com/hackware1993/MagicIndicator.git,9766,2016-06-26T08:20:43Z,2025-03-19T06:12:58Z,54749,1552,187,9766
YoKeyword/Fragmentation,https://github.com/YoKeyword/Fragmentation.git,9726,2016-02-23T08:54:55Z,2025-03-21T06:21:52Z,29343,2113,190,9726
StarRocks/starrocks,https://github.com/StarRocks/starrocks.git,9713,2021-09-04T02:29:35Z,2025-03-23T22:23:42Z,479672,1941,1209,9713
perwendel/spark,https://github.com/perwendel/spark.git,9653,2011-05-05T11:52:05Z,2025-03-23T19:53:58Z,2503,1567,259,9653
ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView.git,9653,2014-11-08T14:45:20Z,2025-03-23T07:33:22Z,13780,2060,180,9653
react-native-camera/react-native-camera,https://github.com/react-native-camera/react-native-camera.git,9649,2015-04-01T00:54:40Z,2025-03-21T15:24:08Z,17586,3538,144,9649
OpenFeign/feign,https://github.com/OpenFeign/feign.git,9618,2013-06-26T23:28:16Z,2025-03-22T14:55:52Z,9695,1939,226,9618
microg/GmsCore,https://github.com/microg/GmsCore.git,9592,2014-04-23T19:28:47Z,2025-03-23T22:51:37Z,12416,1845,1075,9592
liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh.git,9580,2014-11-13T03:13:10Z,2025-03-17T06:11:59Z,3474,2650,172,9580
koral--/android-gif-drawable,https://github.com/koral--/android-gif-drawable.git,9579,2013-01-30T01:37:46Z,2025-03-23T18:14:02Z,6060,1782,37,9579
bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster.git,9568,2013-08-11T12:18:50Z,2025-03-23T08:19:19Z,3580,2112,259,9568
MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server.git,9546,2014-12-04T02:46:54Z,2025-03-23T14:53:41Z,19570,3848,949,9546
umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel.git,9509,2013-05-31T18:33:53Z,2025-03-22T04:00:16Z,2861,2262,299,9509
pockethub/PocketHub,https://github.com/pockethub/PocketHub.git,9388,2011-09-08T16:52:50Z,2025-03-20T16:33:05Z,11945,3449,127,9388
Justson/AgentWeb,https://github.com/Justson/AgentWeb.git,9303,2017-05-12T07:45:56Z,2025-03-22T03:57:44Z,29032,1647,88,9303
xuchengsheng/spring-reading,https://github.com/xuchengsheng/spring-reading.git,9296,2023-09-15T06:42:44Z,2025-03-23T10:12:30Z,2808,1154,36,9296
android/testing-samples,https://github.com/android/testing-samples.git,9244,2014-10-11T03:51:27Z,2025-03-23T16:26:22Z,12132,3636,122,9244
GcsSloop/AndroidNote,https://github.com/GcsSloop/AndroidNote.git,9232,2016-01-04T23:51:36Z,2025-03-22T03:58:35Z,7036,2141,52,9232
apache/cassandra,https://github.com/apache/cassandra.git,9102,2009-05-21T02:10:09Z,2025-03-23T04:09:06Z,447767,3677,609,9102
json-path/JsonPath,https://github.com/json-path/JsonPath.git,9070,2011-01-24T13:19:19Z,2025-03-23T00:35:18Z,2694,1666,414,9070
spring-projects/spring-security,https://github.com/spring-projects/spring-security.git,9037,2012-01-10T21:50:57Z,2025-03-24T00:32:24Z,81346,6003,1031,9037
didi/VirtualAPK,https://github.com/didi/VirtualAPK.git,9017,2017-06-29T07:25:05Z,2025-03-21T03:47:45Z,1010,1529,120,9017
ashishps1/awesome-leetcode-resources,https://github.com/ashishps1/awesome-leetcode-resources.git,9003,2023-10-25T01:48:19Z,2025-03-24T00:21:41Z,246,2184,8,9003
navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary.git,8982,2014-09-30T07:37:17Z,2025-03-22T04:00:05Z,8930,2216,253,8982
seven332/EhViewer,https://github.com/seven332/EhViewer.git,8964,2014-05-14T12:03:52Z,2025-03-23T18:43:57Z,111228,960,199,8964
KunMinX/Jetpack-MVVM-Best-Practice,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice.git,8912,2019-10-31T05:21:01Z,2025-03-22T07:39:36Z,10737,1647,6,8912
nathanmarz/storm,https://github.com/nathanmarz/storm.git,8821,2011-09-17T07:55:13Z,2025-03-19T02:21:04Z,27015,1665,41,8821
Freelander/Android_Data,https://github.com/Freelander/Android_Data.git,8770,2015-04-04T01:37:44Z,2025-03-22T16:34:50Z,153,2027,8,8770
Blankj/awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode.git,8708,2017-04-17T15:51:41Z,2025-03-22T01:05:54Z,512,1725,13,8708
chrisbanes/Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh.git,8701,2011-11-29T09:59:56Z,2025-03-19T08:13:02Z,4286,4686,29,8701
apache/jmeter,https://github.com/apache/jmeter.git,8653,2010-05-26T23:38:07Z,2025-03-22T07:42:09Z,133336,2156,914,8653
java-native-access/jna,https://github.com/java-native-access/jna.git,8653,2011-04-29T13:30:29Z,2025-03-23T04:59:13Z,702645,1684,107,8653
ybq/Android-SpinKit,https://github.com/ybq/Android-SpinKit.git,8650,2016-03-20T08:40:51Z,2025-03-18T11:38:05Z,10241,1312,64,8650
facebook/buck,https://github.com/facebook/buck.git,8557,2013-04-17T18:12:18Z,2025-03-21T15:16:34Z,2024585,1153,227,8557
apache/shenyu,https://github.com/apache/shenyu.git,8554,2018-07-11T08:17:45Z,2025-03-21T07:10:20Z,62652,2970,113,8554
checkstyle/checkstyle,https://github.com/checkstyle/checkstyle.git,8521,2013-08-31T02:05:05Z,2025-03-24T00:12:51Z,189675,3822,900,8521
amitshekhariitbhu/Android-Debug-Database,https://github.com/amitshekhariitbhu/Android-Debug-Database.git,8465,2016-11-16T14:20:24Z,2025-03-23T12:31:45Z,1697,872,79,8465
hs-web/hsweb-framework,https://github.com/hs-web/hsweb-framework.git,8367,2016-01-18T03:51:39Z,2025-03-23T14:47:29Z,33929,3049,7,8367
